Particle ID,Size/nm,Diffusion coefficient/nm^2 s^-1,Normalised intensity/AU,Start frame,Tracklength,Included in distribution?,
3,13.455,3.73915e+007,0.85868,0,2,False,
4,13.8942,3.62097e+007,0.185204,1,2,False,
6,5498.14,91504.3,0.209688,0,2,False,
13,92.1243,5.46113e+006,1.78559,0,2,False,
14,58.6894,8.5723e+006,2.92394,0,40,True,
16,224.684,2.23916e+006,1.49104,0,445,True,
42,49.7312,1.01164e+007,2.93547,4,10,True,
53,21.7041,2.31801e+007,0.246934,7,2,False,
58,58.7696,8.56059e+006,0.169929,8,2,False,
60,398.333,1.26302e+006,0.687887,9,2,False,
61,1530.89,328635,0.189777,9,2,False,
63,18.03,2.79037e+007,0.610784,9,2,False,
68,62.6493,8.03046e+006,0.500014,10,2,False,
74,46.7107,1.07706e+007,1.1969,12,2,False,
80,67.2868,7.47699e+006,0.43212,13,2,False,
81,15.3569,3.27608e+007,0.879334,13,2,False,
84,57.0925,8.81207e+006,4.3768,13,7,True,
93,93.2461,5.39544e+006,0.0636521,14,2,False,
94,88.3826,5.69233e+006,0.0853716,14,2,False,
96,4936.2,101921,0.61479,14,2,False,
97,2967.2,169555,0.390091,14,2,False,
98,183.109,2.74756e+006,0.0773564,14,2,False,
99,12.7177,3.95592e+007,0.104279,14,2,False,
101,231.142,2.1766e+006,0.869486,15,2,False,
109,212.864,2.3635e+006,0.544103,16,2,False,
113,17.3761,2.89537e+007,0.0961967,17,2,False,
114,96.471,5.21507e+006,0.668357,17,3,False,
115,8926.89,56358.2,0.149232,18,2,False,
119,99.777,5.04227e+006,0.0873024,19,8,True,
130,143.762,3.49956e+006,0.213831,27,2,False,
136,62.3473,8.06937e+006,3.80426,21,30,True,
156,7937.43,63383.7,0.150392,28,2,False,
158,21.6389,2.325e+007,1.70229,28,2,False,
166,183.758,2.73786e+006,0.217271,21,6,True,
168,23.9577,2.09996e+007,2.27423,30,3,False,
170,161.96,3.10633e+006,0.153659,31,2,False,
171,31.5532,1.59446e+007,1.37301,31,4,False,
181,27.7679,1.81181e+007,0.285216,32,2,False,
191,186.447,2.69837e+006,0.355927,33,2,False,
200,19.2113,2.61878e+007,0.152665,34,2,False,
221,16.5842,3.03363e+007,0.708978,37,4,False,
222,12.9953,3.87142e+007,0.162544,38,2,False,
223,136.596,3.68314e+006,0.311269,38,2,False,
227,44.1652,1.13914e+007,0.0628565,38,2,False,
228,19.8873,2.52977e+007,1.58511,38,2,False,
231,33.2307,1.51397e+007,0.771705,39,2,False,
234,15.4745,3.25118e+007,0.750346,39,2,False,
239,41.0288,1.22622e+007,0.284967,40,2,False,
244,113.377,4.43744e+006,3.46573,41,6,True,
251,29.2751,1.71854e+007,0.0684768,42,2,False,
256,103.688,4.85207e+006,0.502816,43,2,False,
262,29.5271,1.70387e+007,0.996312,44,2,False,
263,31.3338,1.60563e+007,0.0784311,44,2,False,
266,373.607,1.34661e+006,0.999706,44,2,False,
267,116.823,4.30654e+006,1.57856,44,2,False,
283,30.9494,1.62557e+007,0.260789,46,2,False,
304,15.2027,3.3093e+007,2.16027,47,2,False,
309,291.332,1.7269e+006,0.380025,49,3,False,
312,15.5788,3.22941e+007,1.29195,49,2,False,
313,389.934,1.29023e+006,1.61857,50,4,False,
330,1393.63,361003,2.40159,51,2,False,
339,200.585,2.50818e+006,0.0688654,52,2,False,
345,17.5893,2.86028e+007,0.340728,53,2,False,
346,326.379,1.54147e+006,0.748564,53,2,False,
348,35.4624,1.4187e+007,0.169026,53,2,False,
349,39.5439,1.27226e+007,1.00098,53,3,False,
360,19.7057,2.55309e+007,0.0769185,54,2,False,
361,43.4478,1.15795e+007,1.3192,54,2,False,
362,89.7509,5.60555e+006,0.202685,55,3,False,
366,14.3085,3.51612e+007,0.903106,55,2,False,
367,78.1512,6.43756e+006,3.15542,55,7,True,
376,29.9784,1.67822e+007,0.124121,57,2,False,
378,35.1634,1.43076e+007,2.30704,57,5,True,
388,225.263,2.2334e+006,0.541002,59,2,False,
389,21.1333,2.38061e+007,0.145923,59,2,False,
390,65.0734,7.73132e+006,0.385605,60,10,True,
393,78.6546,6.39636e+006,0.846303,60,2,False,
404,118.344,4.2512e+006,0.303495,61,4,False,
411,916.21,549114,2.18199,63,5,False,
413,2470.33,203658,0.24133,63,2,False,
415,39.749,1.2657e+007,0.390029,63,3,False,
416,73.1089,6.88156e+006,0.951399,63,2,False,
418,8248.21,60995.4,4.34353,90,2,False,
427,59.8611,8.40451e+006,0.317752,65,6,True,
440,74.4128,6.76098e+006,2.63812,68,5,True,
457,91.6185,5.49128e+006,4.37824,73,5,True,
459,1210.73,415538,0.1618,74,4,False,
462,444.659,1.13143e+006,0.718688,74,3,False,
481,118.657,4.23997e+006,0.201943,78,9,True,
485,12.1669,4.13503e+007,1.81131,78,2,False,
486,42.5113,1.18346e+007,1.84732,78,2,False,
494,236.433,2.12789e+006,4.51577,80,5,False,
501,47.5702,1.0576e+007,0.112859,82,2,False,
508,2910.38,172865,3.50623,85,2,False,
509,63.9156,7.87136e+006,0.993653,85,2,False,
525,62.6863,8.02572e+006,1.90818,88,2,False,
527,28315.7,17767.7,2.99013,89,2,False,
534,18.7139,2.68839e+007,0.800723,89,2,False,
535,14.8611,3.38538e+007,0.498734,89,2,False,
537,41.5048,1.21216e+007,0.231507,90,2,False,
546,27.2937,1.84329e+007,3.01797,91,10,True,
547,28315.7,17767.7,1.01381,117,2,False,
548,49.5383,1.01558e+007,2.66536,63,27,True,
554,110.868,4.53785e+006,2.29959,94,3,False,
555,56.4272,8.91596e+006,0.694959,95,2,False,
556,16.5589,3.03827e+007,1.38225,95,2,False,
560,166.064,3.02956e+006,0.13745,97,2,False,
567,137.439,3.66055e+006,0.198776,99,10,True,
569,13.5179,3.72176e+007,0.180249,99,2,False,
577,26.4556,1.90169e+007,3.0007,101,3,False,
578,77.6727,6.47722e+006,1.3835,101,3,False,
586,13.3607,3.76554e+007,2.6377,102,2,False,
601,77.1734,6.51912e+006,0.184874,104,4,False,
603,74.6688,6.73779e+006,2.36382,104,3,False,
604,1214.62,414205,0.852294,104,2,False,
614,70.8457,7.1014e+006,4.36125,107,3,False,
622,100.622,4.99995e+006,0.804593,109,2,False,
624,219.541,2.29161e+006,0.0745,112,2,False,
627,30.9325,1.62646e+007,0.250273,110,2,False,
635,28.2997,1.77777e+007,1.09083,112,2,False,
638,23.3126,2.15807e+007,0.280523,112,2,False,
639,21.9015,2.29711e+007,0.847949,112,3,False,
640,28315.7,17767.7,0.428573,112,2,False,
647,23.6099,2.1309e+007,0.596646,113,2,False,
649,167.914,2.9962e+006,2.43145,113,2,False,
650,285.216,1.76393e+006,0.769311,113,2,False,
652,96.6684,5.20442e+006,0.645719,114,3,False,
655,81.4478,6.177e+006,1.8825,114,2,False,
656,215.564,2.33389e+006,0.167436,110,2,False,
660,326.113,1.54273e+006,2.01823,115,3,False,
661,16.5781,3.03475e+007,0.379873,116,2,False,
666,875.415,574702,0.711823,118,2,False,
667,47.1088,1.06796e+007,2.28039,118,22,True,
674,45.3005,1.11059e+007,2.63714,92,25,True,
680,24.8187,2.02711e+007,0.588381,120,2,False,
681,38.3838,1.31072e+007,1.58272,120,5,True,
687,224.341,2.24258e+006,0.337323,121,6,False,
689,108.698,4.62844e+006,0.174887,121,9,True,
695,13.9414,3.6087e+007,1.11448,121,2,False,
700,114.247,4.40364e+006,0.586798,123,23,True,
701,23.0064,2.1868e+007,0.625169,123,2,False,
707,37.6133,1.33757e+007,1.29971,126,4,False,
711,110.994,4.53272e+006,1.19574,127,2,False,
714,38.0563,1.322e+007,0.807431,127,2,False,
719,38.5359,1.30554e+007,1.39483,130,5,True,
720,100.036,5.02922e+006,0.284777,131,11,True,
725,88.6801,5.67323e+006,0.0809152,132,5,True,
730,555.742,905281,1.36697,134,5,False,
732,26.8903,1.87095e+007,0.638039,135,2,False,
734,83.5337,6.02276e+006,0.58646,135,2,False,
749,25.417,1.9794e+007,2.78258,139,3,False,
750,94.0419,5.34978e+006,0.180015,142,2,False,
761,120.578,4.17242e+006,2.71399,140,6,True,
767,19.0129,2.64612e+007,0.111848,142,2,False,
771,20.0384,2.51069e+007,2.26391,142,2,False,
782,109.569,4.59165e+006,0.0585032,139,3,False,
783,28.7374,1.75069e+007,1.23081,145,2,False,
790,23.1039,2.17757e+007,2.22371,145,3,False,
793,799.17,629532,0.311173,146,2,False,
795,78.1523,6.43747e+006,0.334838,147,2,False,
800,13.221,3.80534e+007,1.95244,148,2,False,
807,34.492,1.45861e+007,1.3493,149,2,False,
809,172.972,2.90859e+006,1.23622,150,2,False,
810,57.8635,8.69465e+006,0.812689,150,3,False,
811,189.236,2.6586e+006,0.199953,150,2,False,
830,20.467,2.45812e+007,1.6571,152,2,False,
833,62.1293,8.09767e+006,1.26302,152,3,False,
835,16.4726,3.05419e+007,1.99523,153,3,False,
846,7187.86,69993.4,2.38122,155,2,False,
852,47.2384,1.06503e+007,1.97649,156,2,False,
853,97.5677,5.15645e+006,0.652918,158,2,False,
859,111.371,4.51735e+006,0.227499,158,16,True,
861,23.7133,2.12161e+007,1.10069,158,2,False,
864,35.3261,1.42417e+007,3.94499,158,2,False,
872,22.0242,2.28432e+007,0.657247,156,2,False,
875,895.634,561728,1.76121,161,2,False,
876,111.454,4.51401e+006,1.68169,161,2,False,
879,51.5923,9.75152e+006,0.488632,163,2,False,
882,17.158,2.93217e+007,0.946161,163,2,False,
883,308.327,1.63172e+006,0.610693,163,4,False,
884,234.677,2.14381e+006,1.29216,163,2,False,
894,117.267,4.29025e+006,1.41458,165,2,False,
895,31.7408,1.58503e+007,1.67247,165,2,False,
898,29.3676,1.71312e+007,0.630611,166,3,False,
902,829.542,606483,0.568679,166,2,False,
914,40.3741,1.2461e+007,1.74701,168,6,True,
916,13.035,3.85964e+007,0.218782,168,2,False,
921,78.6428,6.39732e+006,4.96966,169,2,False,
923,14.7372,3.41384e+007,0.177014,169,2,False,
933,35.4783,1.41806e+007,0.687082,171,4,False,
934,45.7059,1.10074e+007,0.298869,171,2,False,
936,14.792,3.40119e+007,1.07206,171,2,False,
937,18.0852,2.78185e+007,3.70659,171,2,False,
938,20.8718,2.41044e+007,0.285572,172,2,False,
945,81.6416,6.16234e+006,0.650891,172,2,False,
949,29.723,1.69264e+007,0.218971,172,3,False,
950,38.7275,1.29909e+007,0.555087,172,3,False,
952,19.0647,2.63892e+007,0.0520835,173,2,False,
953,593.177,848149,0.843922,173,2,False,
955,179.776,2.7985e+006,1.92696,173,4,False,
957,30.5303,1.64788e+007,1.69473,174,2,False,
973,3726.17,135019,0.308999,175,2,False,
985,45.3656,1.109e+007,0.25655,177,2,False,
989,222.302,2.26315e+006,0.369129,177,2,False,
993,24.4894,2.05437e+007,2.27423,177,3,False,
1007,17.4111,2.88955e+007,1.54872,179,2,False,
1008,152.03,3.30924e+006,0.183415,180,2,False,
1012,124.253,4.04904e+006,0.243534,182,6,True,
1022,13.2214,3.80522e+007,4.76775,184,2,False,
1026,137.026,3.67159e+006,0.774843,185,2,False,
1030,88.4618,5.68723e+006,0.68956,186,2,False,
1041,16.471,3.05447e+007,1.24824,188,2,False,
1043,102.654,4.90096e+006,0.142971,189,4,False,
1045,22.8859,2.19831e+007,0.461318,189,2,False,
1046,38.8229,1.29589e+007,2.42675,189,3,False,
1052,153.467,3.27825e+006,0.812803,190,2,False,
1053,324.234,1.55167e+006,0.153752,191,4,False,
1062,28315.7,17767.7,2.07568,193,2,False,
1068,479.842,1.04848e+006,0.825207,193,2,False,
1070,20.4967,2.45456e+007,0.549397,194,2,False,
1075,86.1222,5.84173e+006,0.257883,195,2,False,
1076,210.667,2.38814e+006,0.341651,195,2,False,
1082,774.603,649498,0.0397023,197,2,False,
1083,26.7213,1.88278e+007,0.491682,197,2,False,
1092,235.337,2.1378e+006,5.31031,198,2,False,
1093,111.019,4.53167e+006,0.309032,199,3,False,
1099,101.233,4.96977e+006,4.27599,201,2,False,
1102,49.1988,1.02259e+007,0.606362,203,2,False,
1103,118.526,4.24465e+006,0.878509,203,2,False,
1104,22.8281,2.20388e+007,3.17204,203,2,False,
1106,62.0178,8.11223e+006,3.67092,203,13,True,
1110,146.954,3.42353e+006,0.14678,205,2,False,
1112,12.4332,4.04644e+007,1.26123,207,2,False,
1140,178.064,2.82541e+006,0.840702,215,4,False,
1143,154.293,3.2607e+006,3.26133,216,7,True,
1152,37.5791,1.33878e+007,0.491124,218,5,True,
1158,28.4345,1.76934e+007,1.42885,220,3,False,
1164,21.7463,2.31351e+007,1.57382,221,2,False,
1168,83.415,6.03133e+006,0.239268,222,5,True,
1172,92.8074,5.42094e+006,0.0862528,223,2,False,
1174,27.1804,1.85098e+007,1.99199,223,2,False,
1176,40.8313,1.23215e+007,1.05221,224,5,True,
1177,17671.4,28469.9,0.792049,225,3,False,
1182,64.408,7.81119e+006,1.83488,225,2,False,
1183,24.737,2.03381e+007,5.31949,225,2,False,
1190,125.46,4.01007e+006,4.37316,227,10,True,
1198,38.2869,1.31403e+007,1.32886,230,4,False,
1209,436.412,1.15282e+006,0.775893,233,2,False,
1214,166.749,3.01712e+006,0.339327,233,2,False,
1222,268.551,1.8734e+006,0.962683,235,2,False,
1223,3073.29,163702,1.15007,234,2,False,
1229,73.7814,6.81883e+006,0.231795,237,6,True,
1230,30.7207,1.63767e+007,1.6251,237,3,False,
1231,4181.23,120324,0.550776,244,4,False,
1232,275.42,1.82668e+006,0.240158,279,2,False,
1233,1552.96,323963,3.50157,237,2,False,
1245,148.881,3.37922e+006,0.277099,239,2,False,
1246,216.935,2.31914e+006,0.482332,239,2,False,
1258,36.0673,1.3949e+007,0.210915,241,2,False,
1264,17.3371,2.90189e+007,1.59699,242,3,False,
1271,381.629,1.31831e+006,0.137014,243,2,False,
1278,223.855,2.24745e+006,0.12381,244,3,False,
1281,109.448,4.59673e+006,0.255206,244,5,True,
1286,262.129,1.91929e+006,2.86211,256,2,False,
1288,5172.05,97273.4,1.44595,245,2,False,
1289,932.113,539744,0.356543,245,2,False,
1290,18.7804,2.67887e+007,0.545474,245,3,False,
1300,24.0686,2.09028e+007,1.35438,248,2,False,
1302,58.7958,8.55678e+006,1.72742,237,7,True,
1314,53.4129,9.41913e+006,1.74965,251,17,True,
1315,328.209,1.53288e+006,0.761569,251,2,False,
1318,64.3459,7.81873e+006,0.499515,252,2,False,
1319,113.451,4.43454e+006,0.713488,252,3,False,
1320,46.6676,1.07806e+007,0.117198,253,3,False,
1322,41.8218,1.20297e+007,0.139507,254,2,False,
1323,362.522,1.38779e+006,0.0907348,254,4,False,
1339,192.95,2.60743e+006,1.14552,257,3,False,
1340,28.9102,1.74022e+007,2.09536,257,2,False,
1346,274.999,1.82947e+006,2.98432,244,12,True,
1352,72.6043,6.92939e+006,2.65833,259,9,True,
1354,56.0018,8.9837e+006,1.99261,260,3,False,
1358,163.523,3.07664e+006,0.251865,262,8,True,
1359,297.193,1.69285e+006,0.265624,262,2,False,
1360,563.433,892925,0.149488,262,2,False,
1366,39.1764,1.2842e+007,1.19401,262,5,True,
1367,174.474,2.88354e+006,0.208283,263,4,False,
1370,13.1447,3.82743e+007,1.31907,264,2,False,
1379,27.2363,1.84718e+007,2.49903,266,2,False,
1391,105.396,4.77345e+006,0.977552,268,4,False,
1403,14.5548,3.45662e+007,1.71139,269,2,False,
1405,29.1071,1.72845e+007,2.63222,269,6,True,
1408,48.3648,1.04023e+007,0.07087,269,2,False,
1409,79.1478,6.3565e+006,2.93533,269,2,False,
1416,12.377,4.06482e+007,0.149452,270,2,False,
1419,84.4757,5.95559e+006,0.340228,270,2,False,
1427,68.5368,7.34063e+006,2.44352,271,20,True,
1434,59.7148,8.4251e+006,3.03185,273,2,False,
1440,18.2461,2.75732e+007,0.85641,273,2,False,
1444,266.689,1.88648e+006,0.30623,273,2,False,
1456,531.448,946664,2.67093,275,2,False,
1457,84.9379,5.92319e+006,2.27184,275,2,False,
1475,1785.12,281832,1.74157,278,2,False,
1481,14.6245,3.44014e+007,1.26644,279,2,False,
1498,121.75,4.13225e+006,1.42877,280,8,True,
1500,38.7605,1.29798e+007,2.01578,281,4,False,
1501,24.1635,2.08208e+007,1.07019,281,2,False,
1508,2345.76,214474,0.252914,277,2,False,
1509,102.974,4.88574e+006,0.549559,237,40,True,
1510,23.0186,2.18563e+007,0.52749,282,2,False,
1512,123.593,4.07063e+006,0.437948,282,93,True,
1518,28.3433,1.77503e+007,2.18219,283,2,False,
1519,137.563,3.65724e+006,0.564957,283,2,False,
1530,47.0638,1.06898e+007,0.0712951,284,2,False,
1531,50.7618,9.91107e+006,0.291368,284,2,False,
1532,96.0924,5.23562e+006,0.302175,290,2,False,
1535,1770.6,284143,0.659636,285,2,False,
1537,37.4859,1.34211e+007,2.20825,285,2,False,
1543,9843.31,51111.2,1.3306,286,2,False,
1548,19.2032,2.61989e+007,1.54578,287,3,False,
1554,72.6316,6.92678e+006,0.0768603,289,2,False,
1567,514.399,978040,1.91233,291,2,False,
1584,264.591,1.90143e+006,1.3935,292,3,False,
1585,300.247,1.67563e+006,0.245967,285,5,False,
1586,573.433,877353,1.67313,293,6,False,
1600,38.4908,1.30707e+007,2.50293,295,12,True,
1602,31.6857,1.58779e+007,0.205984,296,4,False,
1611,46.9076,1.07254e+007,3.03612,299,3,False,
1632,48.2608,1.04247e+007,2.27359,302,6,True,
1645,1506.19,334023,2.71181,305,2,False,
1646,30.2322,1.66413e+007,1.7288,306,2,False,
1657,23.7854,2.11518e+007,1.61246,307,3,False,
1668,74.4541,6.75722e+006,0.27247,309,2,False,
1670,206.732,2.4336e+006,0.0700651,309,2,False,
1673,150.965,3.33258e+006,1.86455,310,2,False,
1678,80.2782,6.267e+006,3.0982,310,15,True,
1680,40.5685,1.24013e+007,3.92655,311,4,False,
1697,31.4606,1.59915e+007,0.836741,312,3,False,
1701,94.2054,5.34049e+006,6.4433,312,6,True,
1705,18.1521,2.77159e+007,0.0695126,312,2,False,
1709,73.3198,6.86177e+006,0.0988188,313,2,False,
1727,36.9505,1.36156e+007,0.718787,315,2,False,
1735,102.873,4.89051e+006,0.435069,315,3,False,
1745,14.278,3.52361e+007,2.17399,316,2,False,
1746,143.912,3.49591e+006,2.10601,316,2,False,
1772,14.507,3.468e+007,1.53049,319,2,False,
1801,1485.75,338620,0.153553,321,2,False,
1806,21.9887,2.28801e+007,2.67252,322,3,False,
1808,41.1388,1.22294e+007,0.882894,322,3,False,
1835,33.5869,1.49792e+007,6.95242,326,2,False,
1838,75.8091,6.63645e+006,2.34146,326,5,True,
1852,14.3087,3.51605e+007,4.6085,329,2,False,
1866,49.1028,1.02459e+007,0.063843,330,2,False,
1871,52.9387,9.5035e+006,2.3917,331,13,True,
1873,109.472,4.59574e+006,0.231789,332,3,False,
1874,187.235,2.68702e+006,0.428965,332,2,False,
1875,52.7128,9.54423e+006,2.82137,332,25,True,
1886,513.821,979140,2.1306,333,2,False,
1887,325.171,1.54719e+006,0.300435,333,2,False,
1894,135.009,3.72643e+006,0.199646,336,2,False,
1898,16.7374,3.00587e+007,1.93585,338,2,False,
1900,122.33,4.11268e+006,0.421812,342,18,True,
1902,971.718,517746,2.33806,344,2,False,
1904,89.4093,5.62697e+006,2.80314,346,3,False,
1907,63.8242,7.88264e+006,0.347701,347,3,False,
1910,21.9198,2.2952e+007,0.404695,348,3,False,
1928,28315.7,17767.7,3.7347,380,2,False,
1941,307.315,1.63709e+006,0.0772208,356,2,False,
1949,431.604,1.16566e+006,3.2327,359,2,False,
1950,23.025,2.18503e+007,0.242367,359,2,False,
1955,43.7778,1.14922e+007,1.49749,361,2,False,
1956,342.997,1.46678e+006,0.188597,362,3,False,
1959,80.1746,6.27509e+006,3.07385,362,19,True,
1961,110.201,4.56531e+006,0.619594,363,10,True,
1963,38.7483,1.29839e+007,0.586204,363,2,False,
1965,2386.61,210803,0.170159,364,3,False,
1966,117.261,4.29046e+006,0.225246,364,5,True,
1969,251.05,2.004e+006,0.220185,365,2,False,
1974,51.4623,9.77614e+006,0.176574,367,2,False,
1975,19.201,2.62019e+007,0.550044,367,2,False,
1996,554.032,908075,0.0873968,370,2,False,
2007,95.3596,5.27585e+006,0.924535,374,3,False,
2010,16.6493,3.02177e+007,0.296512,374,2,False,
2012,18.7057,2.68958e+007,0.188194,374,2,False,
2014,40.177,1.25222e+007,0.287553,375,2,False,
2017,109.683,4.58688e+006,0.474526,376,39,True,
2019,13.1799,3.81719e+007,3.21495,377,2,False,
2025,14.8412,3.38991e+007,0.356701,377,2,False,
2026,33.0098,1.5241e+007,0.411904,377,3,False,
2027,74.5657,6.74711e+006,0.255715,378,3,False,
2035,15.7382,3.19669e+007,0.0746908,378,2,False,
2036,860.067,584958,0.451828,378,2,False,
2041,111.132,4.52709e+006,0.248254,379,2,False,
2048,28315.7,17767.7,0.441701,382,3,False,
2050,68.1472,7.38259e+006,0.0913246,380,2,False,
2068,43.2893,1.16219e+007,0.949884,381,2,False,
2069,829.905,606218,0.0450446,382,2,False,
2071,277.617,1.81222e+006,0.435117,382,2,False,
2082,73.8488,6.81261e+006,3.72005,382,7,True,
2084,44.8307,1.12223e+007,3.40574,350,30,True,
2085,1798.97,279662,0.291709,385,2,False,
2092,139.903,3.59608e+006,0.982315,383,2,False,
2094,49.8847,1.00853e+007,3.43258,383,17,True,
2100,99.1869,5.07227e+006,0.863319,384,2,False,
2101,16.0846,3.12785e+007,2.13177,384,2,False,
2102,359.139,1.40086e+006,0.283618,385,2,False,
2108,269.699,1.86543e+006,0.209496,380,2,False,
2109,97.383,5.16623e+006,1.15791,386,2,False,
2114,17.6031,2.85804e+007,0.174753,383,2,False,
2115,100.949,4.98375e+006,0.698383,388,5,True,
2120,12.3323,4.07957e+007,0.395045,388,2,False,
2124,669.146,751858,0.208645,389,2,False,
2134,42.6046,1.18087e+007,1.426,390,5,True,
2135,35.7341,1.40791e+007,1.61248,390,4,False,
2139,1110.2,453163,0.272616,421,2,False,
2143,30.9988,1.62298e+007,0.0581611,393,4,False,
2147,61.5439,8.1747e+006,0.826711,393,2,False,
2150,215.881,2.33047e+006,0.733021,394,3,False,
2151,79.603,6.32015e+006,0.193206,394,2,False,
2153,52.4029,9.60067e+006,0.399096,394,4,False,
2162,36.8948,1.36361e+007,0.420185,395,3,False,
2163,36.1857,1.39034e+007,1.89234,395,3,False,
2166,83.195,6.04727e+006,0.248742,396,2,False,
2167,26.6619,1.88698e+007,1.25324,396,3,False,
2170,49.7238,1.0118e+007,0.72563,396,2,False,
2188,20.5386,2.44955e+007,3.24367,398,6,True,
2189,45.3306,1.10985e+007,1.28307,398,3,False,
2190,102.679,4.89976e+006,0.52406,401,2,False,
2192,15.0693,3.33861e+007,0.0935066,399,2,False,
2194,24.8825,2.02191e+007,0.393198,399,2,False,
2198,332.78,1.51182e+006,1.47395,404,19,True,
2201,18.7913,2.67732e+007,1.84128,401,2,False,
2205,265.034,1.89826e+006,0.375161,401,2,False,
2218,27.8096,1.8091e+007,0.55201,399,2,False,
2219,1012.49,496897,1.56634,404,3,False,
2229,94.7447,5.31009e+006,0.491737,405,3,False,
2231,336.455,1.4953e+006,0.438677,405,2,False,
2233,24.3402,2.06696e+007,2.63226,405,5,True,
2234,27.3378,1.84032e+007,2.20464,406,2,False,
2238,262.664,1.91538e+006,0.111275,407,2,False,
2239,20.326,2.47516e+007,1.7572,407,3,False,
2249,21.1716,2.37632e+007,0.265583,409,2,False,
2256,944.239,532813,0.385152,410,2,False,
